year,month,quarter,months_since_start,보조금 지급유무,1인당 보조금,목표대수,배터리 가격_lag3,유가_MA3_lag3,경제 상황_MA3_lag3,전기차 검색량_lag3,전기차 주행거리_lag3,충전소 수_lag3,충전소 수 증가량_lag3,Ioniq 5_lag3
2015.0,6.0,2.0,5.0,1.0,2009.8,3000.0,448.0,48.54228229666666,89.33333333333333,10.0,129.3333333,3.0,1.0,0.0
2015.0,7.0,3.0,6.0,1.0,2009.8,3000.0,448.0,50.953568010000005,90.33333333333333,9.0,129.3333333,4.0,1.0,0.0
2015.0,8.0,3.0,7.0,1.0,2009.8,3000.0,448.0,53.8471645,91.66666666666667,8.0,129.3333333,5.0,1.0,0.0
2015.0,9.0,3.0,8.0,1.0,2009.8,3000.0,448.0,57.84580086333333,91.66666666666667,8.0,129.3333333,6.0,1.0,0.0
2015.0,10.0,4.0,9.0,1.0,2009.8,3000.0,448.0,56.661818180000004,90.66666666666667,7.0,129.3333333,7.0,1.0,0.0
2015.0,11.0,4.0,10.0,1.0,2009.8,3000.0,448.0,51.196024529999995,89.66666666666667,6.0,129.3333333,8.0,1.0,0.0
2015.0,12.0,4.0,11.0,1.0,2009.8,3000.0,448.0,46.416017316666675,90.0,9.0,129.3333333,9.0,1.0,0.0
2016.0,1.0,1.0,12.0,0.0,1808.5,5700.0,448.0,44.85692640666667,91.0,11.0,129.3333333,10.0,1.0,0.0
2016.0,2.0,1.0,13.0,1.0,1808.5,5700.0,448.0,44.715553390000004,91.66666666666667,10.0,129.3333333,11.0,1.0,0.0
2016.0,3.0,1.0,14.0,1.0,1808.5,5700.0,448.0,41.95192424,91.66666666666667,11.0,129.3333333,12.0,1.0,0.0
2016.0,4.0,2.0,15.0,1.0,1808.5,5700.0,345.0,37.10509808333334,91.0,13.0,129.3333333,29.5,17.5,0.0
2016.0,5.0,2.0,16.0,1.0,1808.5,5700.0,345.0,33.06493141666666,90.33333333333333,10.0,129.3333333,47.0,17.5,0.0
2016.0,6.0,2.0,17.0,1.0,1808.5,5700.0,345.0,33.18417384333333,90.33333333333333,17.0,138.1428571,64.5,17.5,0.0
2016.0,7.0,3.0,18.0,1.0,1808.5,5700.0,345.0,36.20820058,90.66666666666667,21.0,138.1428571,82.0,17.5,0.0
2016.0,8.0,3.0,19.0,1.0,1808.5,5700.0,345.0,41.671327563333335,91.0,19.0,138.1428571,99.5,17.5,0.0
2016.0,9.0,3.0,20.0,1.0,1808.5,5700.0,345.0,45.408297260000005,91.0,16.0,138.1428571,117.0,17.5,0.0
2016.0,10.0,4.0,21.0,1.0,1808.5,5700.0,345.0,46.707051226666664,91.0,17.0,138.1428571,134.5,17.5,0.0
2016.0,11.0,4.0,22.0,1.0,1808.5,5700.0,345.0,46.04437352,91.0,18.0,138.1428571,152.0,17.5,0.0
