날짜,충전소 수,충전소 수 증가량,전기차 주행거리,주행거리 1분위,주행거리 2분위,주행거리 3분위,주행거리 4분위,경제 상황,보조금 규모,1인당 보조금,목표대수,보조금 지급유무,유가,전기차 등록대수,전기차 등록 변화량,배터리 가격,전기차 검색량,Ioniq Electric,Kona Electric,Kona Electric N,Ioniq 5,Ioniq 5 N,Ioniq 6,Ioniq 6 N,Soul EV,Niro EV,EV6,EV6 N,EV9,Model S,Model X,Model 3,Model Y,SM3 Z.E.,Zoe,Bolt EV
2015-01-01,1,1,129.3333333,148,135,132,111.5,89,6029431.5,2009.8,3000,0,47.219,1729,,448,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-01,2,1,129.3333333,148,135,132,111.5,89,6029431.5,2009.8,3000,0,50.58421053,1786,57,448,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-01,3,1,129.3333333,148,135,132,111.5,90,6029431.5,2009.8,3000,0,47.82363636,1832,46,448,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-01,4,1,129.3333333,148,135,132,111.5,92,6029431.5,2009.8,3000,1,54.45285714,1951,119,448,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-01,5,1,129.3333333,148,135,132,111.5,93,6029431.5,2009.8,3000,1,59.265,2097,146,448,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-01,6,1,129.3333333,148,135,132,111.5,90,6029431.5,2009.8,3000,1,59.81954545,2487,390,448,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-01,7,1,129.3333333,148,135,132,111.5,89,6029431.5,2009.8,3000,1,50.90090909,2692,205,448,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-01,8,1,129.3333333,148,135,132,111.5,90,6029431.5,2009.8,3000,1,42.86761905,2957,265,448,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-09-01,9,1,129.3333333,148,135,132,111.5,91,6029431.5,2009.8,3000,1,45.47952381,3256,299,448,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-10-01,10,1,129.3333333,148,135,132,111.5,92,6029431.5,2009.8,3000,1,46.22363636,3385,129,448,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-11-01,11,1,129.3333333,148,135,132,111.5,92,6029431.5,2009.8,3000,1,42.4435,3500,115,448,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-12-01,12,1,129.3333333,148,135,132,111.5,91,6029431.5,2009.8,3000,1,37.18863636,3595,95,448,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-01-01,29.5,17.5,129.3333333,148,135,132,111.5,90,10308439.8,1808.5,5700,0,31.68315789,3657,62,345,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-01,47,17.5,129.3333333,148,135,132,111.5,90,10308439.8,1808.5,5700,1,30.323,3719,62,345,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-01,64.5,17.5,138.1428571,169.5,135,132,111.5,91,10308439.8,1808.5,5700,1,37.54636364,3793,74,345,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-04-01,82,17.5,138.1428571,169.5,135,132,111.5,91,10308439.8,1808.5,5700,1,40.7552381,3906,113,345,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-05-01,99.5,17.5,138.1428571,169.5,135,132,111.5,91,10308439.8,1808.5,5700,1,46.71238095,3979,73,345,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-01,117,17.5,138.1428571,169.5,135,132,111.5,91,10308439.8,1808.5,5700,1,48.75727273,4108,129,345,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-01,134.5,17.5,138.1428571,169.5,135,132,111.5,91,10308439.8,1808.5,5700,1,44.6515,4145,37,345,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-08-01,152,17.5,138.1428571,169.5,135,132,111.5,91,10308439.8,1808.5,5700,1,44.72434783,4225,80,345,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-09-01,169.5,17.5,138.1428571,169.5,135,132,111.5,91,10308439.8,1808.5,5700,1,45.18238095,4354,129,345,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-10-01,187,17.5,138.1428571,169.5,135,132,111.5,92,10308439.8,1808.5,5700,1,49.7752381,4452,98,345,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-11-01,204.5,17.5,138.1428571,169.5,135,132,111.5,90,10308439.8,1808.5,5700,1,45.66095238,4678,226,345,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-12-01,222,17.5,138.1428571,169.5,135,132,111.5,89,10308439.8,1808.5,5700,1,51.97047619,4944,266,345,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-01-01,871.1666667,649.1666667,138.1428571,169.5,135,132,111.5,87,26809542.2,1915,14000,0,52.504,5069,125,258,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
