지역코드,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
11,1,8,30,1288,1390,1247,1941,7366,18335,15073,14433,2502
26,0,0,11,382,543,930,523,1277,6839,8892,5449,1229
27,0,0,8,557,685,643,583,1691,4734,5176,4983,1208
28,0,0,8,356,429,395,528,1378,5566,6711,7560,1459
29,0,0,1,161,334,485,439,825,2654,2998,4114,699
30,0,0,1,293,223,487,320,866,3076,4245,2394,948
31,0,0,2,115,174,278,284,432,1634,2532,2280,547
36,0,0,1,136,218,120,122,316,1546,1634,998,327
41,0,0,56,1749,3447,2997,2978,6946,27231,33465,38186,7184
43,0,2,3,307,430,717,415,827,3422,3821,3545,1120
44,0,0,5,244,553,944,589,1137,3791,4928,5027,1293
46,0,0,7,314,486,501,731,844,2449,4109,4031,544
47,0,0,10,398,636,769,848,1642,4045,4892,5003,1200
48,0,2,17,512,534,972,931,1540,5303,6394,7144,1668
50,0,0,42,372,547,772,885,898,1495,1772,1471,207
51,0,0,3,257,481,393,616,857,3328,4286,3827,835
52,0,0,5,349,410,389,707,863,3247,3864,4351,842
