행정구역,신고인원 (명),총수입금액 (백만원),종합소득금액 (백만원),과세표준 (백만원),산출세액 (백만원),세액공제 및 감면 (백만원),결정세액 (백만원),소득평균
강원도 강릉시,37057,5360920,1017392,806280,145682,28398,117700,27454786
강원도 고성군,4447,666158,113967,92321,16766,2952,13831,25627839
강원도 동해시,13215,1880058,338414,261145,41537,9187,32385,25608324
강원도 삼척시,8607,1080852,224394,176314,28719,5699,23049,26071105
강원도 속초시,14922,2472952,437855,358070,68612,11877,56830,29342916
강원도 양구군,2789,297246,55714,40628,5419,1486,3942,19976336
강원도 양양군,4674,665071,119229,96252,16427,3026,13421,25508986
강원도 영월군,5317,669022,133457,103778,16529,3143,13413,25100056
강원도 원주시,65223,8265214,1714354,1333669,227361,50422,177192,26284501
강원도 인제군,4647,540842,111014,85394,13270,2611,10674,23889391
강원도 정선군,4626,548099,102534,78144,10980,2451,8540,22164721
강원도 철원군,5430,701333,119795,90901,14083,3560,10544,22061694
강원도 춘천시,49939,5952297,1334024,1038183,175417,38869,136879,26713070
강원도 태백시,5398,732918,157842,126000,21038,3952,17103,29240830
강원도 평창군,6594,816717,165387,130957,22887,4012,18900,25081438
강원도 홍천군,10302,1247457,238265,183816,27832,6293,21594,23128033
강원도 화천군,3058,348359,63284,47311,6167,1585,4591,20694572
강원도 횡성군,6849,884929,161916,126588,20760,4439,16348,23640823
경기도 가평군,12296,1633840,333748,273533,53244,8918,44418,27142811
경기도 고양시,258445,32657169,7713314,6239571,1175437,220935,956271,29845089
경기도 과천시,18003,3149194,1163185,1024065,262817,33207,229823,64610620
경기도 광명시,62835,8232980,1908616,1535792,281885,57308,224949,30375046
경기도 광주시,97048,12917579,2523448,1995336,342912,75296,268038,26002061
경기도 구리시,44464,5404853,1166236,921656,160138,31004,129357,26228769
경기도 군포시,59306,6735308,1664663,1327984,237443,55597,187007,28069049
경기도 김포시,113362,16223865,3236379,2572190,454013,101039,353674,28549064
경기도 남양주시,173562,23396823,4586533,3625032,635351,130296,505874,26425905
경기도 동두천시,16924,1778411,329847,248116,35687,8858,26872,19489896
경기도 부천시,189500,23432915,4889023,3891809,693162,152523,541531,25799594
경기도 성남시,212774,30735336,10680446,9273899,2355496,337890,2019833,50196199
경기도 수원시,266358,33223353,8082932,6531753,1243499,264974,980246,30346121
경기도 시흥시,124645,16862284,3083127,2404286,379686,97013,283265,24735264
경기도 안산시,152617,18491668,3590851,2813792,456144,107492,349708,23528513
경기도 안성시,39614,4972272,952495,750292,125377,29102,96434,24044403
경기도 안양시,122947,14898462,3780446,3048485,570790,115125,459265,30748583
경기도 양주시,53924,6885360,1238290,954374,149961,37655,112479,22963615
경기도 양평군,25219,3527254,857017,721343,158619,22386,136464,33982989
경기도 여주시,21432,2758699,544179,431741,77596,17714,59966,25390957
경기도 연천군,6294,751947,132350,101390,15219,3717,11531,21027963
경기도 오산시,53512,5836257,1253029,972402,153998,39518,114669,23415851
