행정구역,총인구수,세대수,세대당 인구,남자 인구수,여자 인구수,남여 비율
서울특별시,373274,179948,2.07,180072,193202,0.93
부산광역시,203526,98323,2.07,99002,104523,0.95
대구광역시,262129,123102,2.13,128513,133616,0.96
인천광역시,233373,106588,2.19,116609,116763,1
광주광역시,280165,131668,2.13,138267,141899,0.97
대전광역시,287879,138484,2.08,143385,144394,0.99
울산광역시,218892,99316,2.2,112694,106198,1.06
세종특별자치시,391992,164710,2.38,195101,196891,0.99
강원도 춘천시,285569,137651,2.07,140863,144706,0.97
강원도 원주시,362154,174564,2.07,179353,182801,0.98
강원도 강릉시,207108,104799,1.98,102617,104491,0.98
강원도 동해시,86997,43549,2,44135,42862,1.03
강원도 태백시,37642,20238,1.86,19038,18604,1.02
강원도 속초시,80265,41118,1.95,39617,40648,0.97
강원도 삼척시,61485,33784,1.82,31344,30141,1.04
강원도 홍천군,66422,34921,1.9,34258,32164,1.07
강원도 횡성군,46010,24078,1.91,23702,22308,1.06
강원도 영월군,36442,21097,1.73,18893,17549,1.08
강원도 평창군,40038,21997,1.82,20770,19268,1.08
강원도 정선군,33381,19091,1.75,17398,15983,1.09
강원도 철원군,40130,20202,1.99,20688,19442,1.06
강원도 화천군,22596,11972,1.89,12102,10494,1.15
강원도 양구군,20510,10346,1.98,10733,9777,1.1
강원도 인제군,31131,16608,1.87,17035,14096,1.21
강원도 고성군,26810,15315,1.75,13756,13054,1.05
강원도 양양군,27398,14966,1.83,14027,13371,1.05
충청북도 청주시,213765,101643,2.1,108043,105723,1.02
충청북도 충주시,207081,104021,1.99,104970,102111,1.03
충청북도 제천시,128708,66611,1.93,64946,63762,1.02
충청북도 보은군,30309,16786,1.81,15408,14901,1.03
충청북도 옥천군,48364,25629,1.89,24505,23859,1.03
충청북도 영동군,43142,23652,1.82,21740,21402,1.02
충청북도 증평군,37129,19058,1.95,19363,17766,1.09
충청북도 진천군,86138,42856,2.01,45553,40585,1.12
충청북도 괴산군,35925,21294,1.69,18638,17287,1.08
충청북도 음성군,91792,49775,1.84,49003,42789,1.15
충청북도 단양군,27086,15244,1.78,13834,13252,1.04
충청남도 천안시,330577,157548,2.1,169573,161004,1.05
충청남도 공주시,100818,53755,1.88,50254,50564,0.99
충청남도 보령시,92958,49072,1.89,47044,45914,1.02
충청남도 아산시,356963,166617,2.14,186146,170817,1.09
충청남도 서산시,173450,84152,2.06,90935,82515,1.1
충청남도 논산시,107750,57308,1.88,54011,53739,1.01
충청남도 계룡시,46109,19498,2.36,22989,23120,0.99
충청남도 당진시,172302,85662,2.01,92397,79905,1.16
충청남도 금산군,49410,26701,1.85,25096,24314,1.03
충청남도 부여군,59110,32343,1.83,29445,29665,0.99
충청남도 서천군,47876,26385,1.81,23738,24138,0.98
충청남도 청양군,29440,16745,1.76,15088,14352,1.05
충청남도 홍성군,100000,49877,2,49986,50014,1
충청남도 예산군,78809,41059,1.92,39567,39242,1.01
충청남도 태안군,59760,33414,1.79,30215,29545,1.02
전라북도 전주시,315794,148545,2.13,155010,160784,0.96
전라북도 군산시,256856,125340,2.05,130337,126519,1.03
전라북도 익산시,267790,131967,2.03,133282,134508,0.99
전라북도 정읍시,101439,54432,1.86,50684,50755,1
전라북도 남원시,75147,39953,1.88,36904,38243,0.96
전라북도 김제시,81211,44089,1.84,40715,40496,1.01
전라북도 완주군,99923,49915,2,51351,48572,1.06
전라북도 진안군,24238,13737,1.76,12406,11832,1.05
전라북도 무주군,22976,13056,1.76,11546,11430,1.01
전라북도 장수군,20490,11517,1.78,10293,10197,1.01
전라북도 임실군,25486,14902,1.71,13188,12298,1.07
전라북도 순창군,26828,14578,1.84,13220,13608,0.97
전라북도 고창군,50770,28506,1.78,25422,25348,1
전라북도 부안군,47698,27405,1.74,23848,23850,1
전라남도 목포시,207218,103773,2,103057,104161,0.99
전라남도 여수시,266021,128302,2.07,135420,130601,1.04
전라남도 순천시,275563,127367,2.16,137609,137954,1
전라남도 나주시,117188,60389,1.94,59287,57901,1.02
전라남도 광양시,155073,72841,2.13,81381,73692,1.1
전라남도 담양군,44451,24133,1.84,22447,22004,1.02
전라남도 곡성군,26609,15616,1.7,13237,13372,0.99
전라남도 구례군,23976,13444,1.78,11720,12256,0.96
전라남도 고흥군,60028,35269,1.7,29603,30425,0.97
전라남도 보성군,36947,21759,1.7,18157,18790,0.97
전라남도 화순군,60600,31754,1.91,30006,30594,0.98
전라남도 장흥군,34322,19666,1.75,16872,17450,0.97
전라남도 강진군,32009,18200,1.76,15711,16298,0.96
전라남도 해남군,62744,34531,1.82,31458,31286,1.01
전라남도 영암군,50984,28647,1.78,26784,24200,1.11
전라남도 무안군,93722,45430,2.06,47083,46639,1.01
전라남도 함평군,29813,17717,1.68,15212,14601,1.04
전라남도 영광군,52624,28186,1.87,26362,26262,1
전라남도 장성군,42655,23483,1.82,21839,20816,1.05
전라남도 완도군,45263,25294,1.79,22923,22340,1.03
전라남도 진도군,28358,16436,1.73,14157,14201,1
전라남도 신안군,38835,22065,1.76,20953,17882,1.17
경상북도 포항시,245135,118919,2.06,124433,120702,1.03
경상북도 경주시,244486,125868,1.94,122466,122020,1
경상북도 김천시,135209,69461,1.95,68115,67094,1.02
경상북도 안동시,153973,81340,1.89,76331,77642,0.98
경상북도 구미시,403727,191500,2.11,208666,195061,1.07
경상북도 영주시,98228,51615,1.9,48895,49333,0.99
경상북도 영천시,97132,54581,1.78,49730,47402,1.05
경상북도 상주시,91227,49068,1.86,45101,46126,0.98
