Date,Ioniq Electric,Ioniq Electric,Ioniq Electric,Kona Electric,Kona Electric,Kona Electric,Kona Electric,Ioniq 5,Ioniq 5,Ioniq 5,Ioniq 5,Ioniq 5,Ioniq 5,Ioniq 6,Ioniq 6,Ioniq 6,Soul EV,Soul EV,Soul EV,Soul EV,Niro EV,Niro EV,Niro EV,EV6,EV6,EV6,EV9,EV9,Model S,Model S.1,Model S.2,Model X,Model X.1,Model 3,Model 3.1,Model Y,SM3 Z.E.,SM3 Z.E.1,Zoe,Bolt EV,Bolt EV.1
2011-12-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-08-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135,,,,
2014-04-01,,,,,,,,,,,,,,,,,148,,,,,,,,,,,,,,,,,,,,,,,,
2014-04-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-03-01,,191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-10-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,383,
2017-06-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,451,,,,,,,,,,,,
2017-07-01,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-04-01,,,,,254,,406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-05-01,,,,,,,,,,,,,,,,,,180,,,,,,,,,,,,,,,,,,,,,,,
2018-07-01,,,,,,,,,,,,,,,,,,,,,,246,385,,,,,,,,,,,,,,,,,,
2018-08-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,468,,,,,,213,,,
2019-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,496,,,,,,,
2019-05-01,,,271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-01,,,,,,,,,,,,,,,,,,,250,386,,,,,,,,,,,,,,,,,,,,,
2020-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,521,,,482,,,,,,309,,414
2021-04-01,,,,,,,,,429,,,,336,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-01,,,,,,,,,,,,,,,,,,,,,,,,,475,370,,,,,,,,,,,,,,,
2021-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,528,511,,,,,
2022-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-01,,,,,,,,,,458,,,,,,,,,,,401,,,,,,,,,,,,,,,,,,,,
2022-09-01,,,,,,,,,,,,,,,524,454,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-01,,,,,,,,,,,,,,,,,,,,,,,,342,,,,,,,,,,,,,,,,,
2023-04-01,,,,,,417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,501,450,,,,,,,,,,,,,
2023-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,555,,,,,,,,,,
2024-03-01,,,,,,,,,,,374,485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-01,,,,311,,,,368,,,,,,367,,,,,,,,,,,,,,,,,,,,,,,,,,,
