행정구역,만원
서울특별시,640
부산광역시,860
대구광역시,830
인천광역시,810
광주광역시,910
대전광역시,830
울산광역시,870
세종특별자치시,780
경기도 수원시,830
경기도 성남시,880
경기도 의정부시,820
경기도 안양시,830
경기도 부천시,830
경기도 광명시,980
경기도 평택시,880
경기도 동두천시,830
경기도 안산시,880
경기도 고양시,830
경기도 과천시,780
경기도 구리시,880
경기도 남양주시,830
경기도 오산시,880
경기도 시흥시,830
경기도 군포시,880
경기도 의왕시,880
경기도 하남시,830
경기도 용인시,830
경기도 파주시,1064
경기도 이천시,880
경기도 안성시,980
경기도 김포시,820
경기도 화성시,830
경기도 광주시,830
경기도 양주시,820
경기도 포천시,830
경기도 여주시,980
경기도 연천군,930
경기도 가평군,980
경기도 양평군,980
강원도 춘천시,868
강원도 원주시,868
강원도 강릉시,868
강원도 동해시,868
강원도 태백시,868
강원도 속초시,868
강원도 삼척시,868
강원도 홍천군,868
강원도 횡성군,868
강원도 영월군,868
강원도 평창군,868
강원도 정선군,868
강원도 철원군,868
강원도 화천군,868
강원도 양구군,868
강원도 인제군,868
강원도 고성군,868
강원도 양양군,868
충청북도 청주시,1160
충청북도 충주시,1160
충청북도 제천시,1160
충청북도 보은군,1160
충청북도 옥천군,1160
충청북도 증평군,1160
충청북도 영동군,1160
충청북도 진천군,1160
충청북도 괴산군,1160
충청북도 음성군,1160
충청북도 단양군,1230
충청남도 천안시,1280
충청남도 공주시,1280
충청남도 보령시,1280
충청남도 아산시,1280
충청남도 서산시,1280
충청남도 논산시,1280
충청남도 계룡시,1280
충청남도 당진시,1280
충청남도 금산군,1280
충청남도 부여군,1280
충청남도 서천군,1280
충청남도 청양군,1280
충청남도 홍성군,1280
충청남도 예산군,1280
충청남도 태안군,1280
전라북도 전주시,1210
전라북도 군산시,1210
전라북도 익산시,1210
전라북도 정읍시,1210
전라북도 남원시,1210
전라북도 김제시,1210
전라북도 완주군,1210
전라북도 진안군,1210
전라북도 무주군,1210
전라북도 장수군,1210
전라북도 임실군,1210
전라북도 순창군,1210
전라북도 고창군,1210
전라북도 부안군,1210
전라남도 목포시,1080
전라남도 여수시,1150
전라남도 순천시,1160
전라남도 나주시,1160
전라남도 광양시,1080
전라남도 담양군,1330
전라남도 곡성군,1230
전라남도 구례군,1330
전라남도 고흥군,1330
전라남도 보성군,1430
전라남도 화순군,1280
전라남도 장흥군,1330
전라남도 강진군,1330
전라남도 해남군,1310
전라남도 영암군,1280
전라남도 무안군,1230
전라남도 함평군,1230
전라남도 영광군,1330
전라남도 장성군,1230
전라남도 완도군,1030
전라남도 진도군,1230
전라남도 신안군,1230
경상북도 포항시,1180
경상북도 경주시,1180
경상북도 김천시,1180
경상북도 안동시,1180
경상북도 구미시,1180
경상북도 영주시,1180
경상북도 영천시,1180
경상북도 상주시,1180
경상북도 문경시,1180
경상북도 경산시,1180
경상북도 의성군,1180
경상북도 청송군,1180
경상북도 영양군,1180
경상북도 영덕군,1180
경상북도 청도군,1180
경상북도 고령군,1180
경상북도 성주군,1180
경상북도 칠곡군,1180
경상북도 예천군,1180
경상북도 봉화군,1180
경상북도 울진군,1180
경상북도 울릉군,1680
경상남도 창원시,1100
경상남도 진주시,1100
경상남도 통영시,1340
경상남도 사천시,1100
경상남도 김해시,1100
경상남도 밀양시,1100
경상남도 거제시,1100
경상남도 양산시,1100
경상남도 의령군,1100
경상남도 함안군,1100
경상남도 창녕군,1230
경상남도 고성군,1100
경상남도 남해군,1100
경상남도 하동군,1100
경상남도 산청군,1100
경상남도 함양군,1100
경상남도 거창군,1340
경상남도 합천군,1490
제주도,980
